Text,Label
वह सौंपी गई भूमिका निभाकर ले जाती हैं,0
इसकी गुणवत्ता इतनी घटिया है कि दूसरी बार नहीं खरीदूंगा।,1
रेप और डिप्रेशन से उबरने में योग ने कैसे की एक महिला की मदद,0
तू हर वक्त रंडी क्यों बना रहता है,1
फट्टू जैसा घटिया इंसान मैंने आज तक नहीं देखा।,1
दिल्ली विधानसभा चुनाव आम आदमी पार्टी की जीत और बीजेपी की हार पर पाकिस्तान में क्या प्रतिक्रिया है,0
आज की फ़िल्मों से प्यार क्यों हैं ग़ायब,0
गांडू लोगों को समझाने का कोई फायदा नहीं,1
उसको तो सजा मिले पर कभी बाहर आने की सोचे भी नहीं जेल भेज कर काला मुँह करो साले का,1
भीमा कोरेगांव हिंसा कोरोना पर रिसर्च करने वाले प्रो पार्थो सारथी को  का समन,0
हरामी ने मेरी बात नहीं सुनी।,1
लुख्खा जैसा घटिया इंसान मैंने आज तक नहीं देखा।,1
कोरोना वायरस के कारण इटली और न्यूयॉर्क में रोज़ाना हो रही मौतों के आंकड़ों में कमी आई है,0
साले जेएनयू छाप कमिने लोग हिन्दुओं को यह कहते है की संविधान सबको बराबर अधिकार देता है। सच्चाई यह है कि यह बराबर अधिकार नहीं देता है।,1
मिमी का जैक ऊपर की तरफ दोनों स्पीकर के पीछे है जबकि वाई तरफ कोई की या पोर्ट नहीं है,0
मुज़फ़्फ़रनगर में  दिन बाद रिहा हुए ग़लती से पकड़े गए फ़ारूक़,0
आज सूरजमुखी का फूल देखा बहुत सुंदर था,0
ये गांडू फिर से अपनी बेकार की बातें लेकर आ गया,1
कोरोना लॉकडाउन ज़ूम ऐप इस्तेमाल कर रहे हों तो अलर्ट हो जाइए,0
महीनो बाद जब स्कूल खुले तो बदल गए क्लासरूम और स्कूल के नियम,0
यह खासतौर पर टाइगर क्षेत्र के रूप में जाना जाता है,0
आप एलिफेंट सफारी में हाथियों से साइन लैंग्वेज में बातें करना भी सीख जाएंगे,0
शानदार प्रदर्शन और सरल डिज़ाईन के साथ यह स्मार्टफोन उनके लिए सर्वोत्तम है जो बजट ऍण्ड्रॉइड स्मार्टफोन की तलाश में है,0
उत्तर प्रदेश में  विरोध प्रदर्शनों में अब तक  लोगों की मौत सुनिए उनकी कहानी जिन्होंने अपनों को खोया वीडियो  योगिता लिमये  देबलिन रॉय  शुभम कौल,0
तू कितना बड़ा मादरचोद है ये सब जानते हैं।,1
राम गोपाल वर्मा ने प्राकृतिक रोशनी  में वास्तविक लोकेशन  पर अपने कलाकारों को पहुंचा दिया है और डिजिटल कैमरे से सीमित संसाधनों में यह फिल्म पूरी की है,0
महाराष्ट्रहरियाणा चुनावी नतीजे  शुरुआती रुझानों में बीजेपी को बढ़त,0
मोदीजी देसी ब्रीड वाले कुत्ते पाल रहे हैं आजकल। गजब का भौंकते हैं। दोनों का काम चल रहा है। मोदीजी देसी ब्रीड से खुश देसी ब्रीड मोदीजी से खुश। ये संयोग है या प्रयोग है,1
साले चूतिए शिवराज सिंह बोल रहे तुम्हारा पप्पू गुरु है ना,1
केरल भीषण भूस्खलन में  की मौत  लोग अब भी दबे,0
प्रधानमंत्री नरेंद्र मोदी ने जो किताब रिलीज़ की उससे संघ परिवार को दिक़्क़त  प्रेस रिव्यू,0
थामेल एवं पूर्व रॉयल पैलेस के समीप यह सुंदर और ऐतिहासिक गार्डन  गार्डन ऑफ सिक्स सीजन  के नाम से प्रसिद्ध है जिसे  में स्थापित किया गया है,0
क्या मच्छरों के काटने से फैलता है कोरोना वायरस पढ़िए डब्ल्यूएचओ ने क्या कहा,0
इसपर साले पर लट्ठ बजे तकड़े वाला जेहादी सुअर।,1
इस हरामी की सदस्यता रद्द की जाए कल के कल वरना ऐसे कमीने बहोत है,1
दानिश कनेरिया को लेकर शोएब अख़्तर का बयान और इंज़माम का जवाब पाकिस्तान क्रिकेट में हिन्दूमुसलमान स्टोरी और आवाज़ नवीन नेगी एडिट देबलिन रॉय,0
वर्ल्ड हेल्थ ऑर्गेनाइज़ेशन के आंकड़े बताते हैं कि पाकिस्तान में हर साल ब्रेस्ट कैंसर से  हज़ार महिलाओं की मौत हो जाती है,0
हरामी,1
सर आप नास्तिक ही नहीं बल्कि वो महान साहसी पुरुष हैं जो अपने बाप की कॉलर पकड़ के बोल सकता है के भोसड़ी के तूने मेरी माँ को चो इसलिए मुझे इस कमीनी दुनिया में पैदा होना पड़ा,1
सुअर साले आतंकियों को भीड़ बता रहे,1
ढलती रोशनी में ये सूखा से पेड़ ऐसा लग रहा था मानो काग़ज़ पर बनी कोई सुंदर सी पेंटिंग हो,0
कमीने लोगों पर भरोसा नहीं करना चाहिए।,1
बैग में पैसे छिपाकर दान करने के मामले पर क्या बोले आमिर ख़ानसोशल मीडिया,0
तुझे तो सीधे गांडू बोलना चाहिए।,1
भोसड़ी वाले लोगों से दूर रहो।,1
कितने बहनचोद इंसान हो तुम,1
तू मादरचोद हो क्या तेरी गांडू ताहीर हुसैन का रखैल साला,1
तू हर वक्त बहनचोद क्यों बना रहता है,1
मराठी मानुष के चरित्र को उन्होंने बखूबी निभाया है,0
साले लोगों से बचकर रहो,1
छे साल पहले पूजीपतियों ने एक कुत्ता पाला था। वो भी देशी। और तो और साला वफादार भी निकला। पूँजीवाद,1
रंडी के भाव क्यों दे रहा है,1
तुझे तो सीधे बहनचोद बोलना चाहिए।,1
कुल मिला कर  माइक्रोमैक्स फनबुक बहुत बढ़िया प्रॉडक्ट है  जो आपके पैसे की पूरी कीमत तो लौटाता ही है  अपने यूजर को भी उत्कृष्टता का अहसास कराता है,0
बहनचोद कहीं का।,1
कितने मादरचोद इंसान हो तुम,1
ये कन्हैया कुमार साला कुत्ता का कुत्ता ही रहा चुटिया साला,1
साले चिढ़े हुए हैं कोई दूसरा गड्ढा ना भर दें।,1
छिनाल कुत्ती की तरह भौंक रहा है चुप हो जा,1
हरामी कहीं का,1
सीसा का ज़हर सबसे ज़्यादा घुल रहा है भारतीय बच्चों के ख़ून में,0
रफ़ाल से बोफोर्स तक कबकब लगे रक्षा सौदे में भ्रष्टाचार के आरोप,0
स्क्रीन पर आप एप्पस एवं    ऑइकन ऊपर दाहिनी तरफ पाते हैं,0
कोरोना की बंदी से ज़रूरी सेवाएं भी ठप,0
इतने हरामी मत बनो।,1
वो सच में भोसड़ी वाला निकला।,1
पीएम मोदी ने कहा आपको याद रखना है कि घर से बाहर पड़ने वाला आपका सिर्फ़ एक क़दम कोरोना जैसी गंभीर बीमारी को आपके घर में ला सकता है रिपोर्ट,0
क्या लौड़े का जैसी हरकतें कर रहा है तू,1
